angles,catala,espanyol,alemany,frances,polones,portugues,rus,italia,suec
as,com,como,wie,comme,jak,Como,в качестве,come,som
his,seva,su,seine,le sien,jego,seu,его,il suo,hans
that,que,que,das,ce,że,este,что,Quello,den där
he,ell,él,er,il,on,ele,он,lui,han
was,era,estaba,war,a été,był,foi,был,era,var
for,per,por,zum,pour,dla,por,за,per,för
on,en,en,an,sur,na ,sobre,на,Su,på
are,són,son,sind,sommes,są,são,находятся,sono,are
with,amb,con,mit,avec,z,com,с,insieme a,med
they,que,ellos,sie,elles ou ils,one,elas,Oни,essi,de
be,ser,ser,sein,être,być,ser,быть,essere,vara
at,en,a,bei,à,w,no,в,a,på
one,significarà,una,eines,une,jeden,um,один,uno,ett
have,tenir,tener,haben,ont,mieć,tenho,имеют,avere,ha
this,aquest,este,Dies,cette,ten,isto,это,questo,detta
from,des,de,aus,de,z,a partir de,из,da,från
by,per,por,durch,par,za pomocą,por,по,di,förbi
hot,calenta,caliente,heiß,chaud,gorący,quente,горячий,piccante,varm
word,paraula,palabra,Wort,mot,słowo,palavra,слово,parola,ord
but,però,pero,aber,mais,ale,mas,но,ma,men
what,ho,qué,was,Quel,Co,o que,какие,che cosa,Vad
some,alguns,alguno,etwas,quelques,niektóre,algum,немного,alcuni,några
is,és,es,ist,est,jest,é,является,è,är
it,el,eso,es,ce,to,isto,Это,esso,Det
you,vostè,tú,Sie,tu,ty,vocês,ты,voi,du
or,o,o,oder,ou,lub,ou,или же,o,eller
had,tingut,tenido,hatte,avais,miał,teve,было,avevo,ha
the,la,la,das,la,the,a,а,il,de
of,d’,de,von,de,z,do,из,di,av
to,a,a,zu,à,do,para,к,a,till
and,i,y,und,et,oraz,e,а также,e,och
a,ella,a,a,un,a,uma,а,un,en
in,en,en,in,dans,w,dentro,в,in,i
we,nosaltres,nosotros,wir,nous,my,nós,мы,noi,vi
can,pot,pueden,kann,boîte,Móc,posso,Можно,Potere,burk
out,sortida,afuera,aus,dehors,na zewnątrz,Fora,вне,fuori,ut
other,altre,otro,Sonstiges,autre,inny,outro,Другой,Altro,Övrig
were,eren,fueron,war,étaient,byli,nós estamos,мы,erano,var
which,que,cual,die,qui,który,que,который,quale,som
do,fer,hacer,tun,fais,robić,Faz,делать,fare,do
their,seva,sus,ihr,leur,ich,seus,их,i loro,deras
time,temps,tiempo,Zeit,temps,czas,Tempo,время,volta,tid
if,si,si,wenn,si,jeśli,E se,если,Se,om
will,farà,voluntad,Wille,sera,będzie,vai,будут,volere,kommer
how,com,cómo,wie,comment,Jak,Como as,как,come,hur
said,dit,dijo,sagte,a dit,powiedział,disse,сказал,disse,nämnda
an,ocupat,un,ein,un,jakiś,um,атмосфера,un,en
each,cada,cada,jeder,chaque,każdy,cada,каждый,a testa,varje
tell,dir,decir,erzählen,raconter,powiedzieć,dizer,сказать,raccontare,säga
does,fa,lo hace,tut,Est-ce que,czy,faz,делает,fa,göra
set,conjunt,establecer,einstellen,Positionner,ustawić,definir,установлен,impostare,uppsättning
three,mar,Tres,drei,Trois,trzy,três,три,tre,tre
want,voler,desear,wollen,vouloir,chcieć,querer,хочу,volere,vilja
air,aire,aire,Luft,air,powietrze,ar,воздуха,aria,luft
well,bé,bien,Gut,bien,dobrze,Nós vamos,Что ж,bene,väl
also,també,además,Auch,aussi,Również,também,также,anche,också
play,jugar,desempeñar,abspielen,jouer,bawić się,Toque,играть в,giocare a,spela
small,petit,pequeña,klein,petit,mały,pequena,маленький,piccolo,små
end,fi,final,Ende,fin,koniec,fim,конец,fine,slutet
put,posar,poner,stellen,mettre,położyć,colocar,помещать,mettere,sätta
home,casa,hogar,Heimat,domicile,Dom,casa,дом,casa,Hem
read,llegir,leer,lesen,lis,czytać,ler,читать,leggere,läsa
hand,mà,mano,Hand,main,ręka,mão,рука,mano,hand
port,port,Puerto,Hafen,Port,Port,porta,порт,porta,hamn
large,gran,largo,groß,grand,wielki,ampla,большой,di grandi dimensioni,stor
spell,lletrejar,deletrear,Fluch,sort,zaklęcie,soletrar,орфографии,sillabare,stava
add,afegir,agregar,hinzufügen,ajouter,Dodaj,adicionar,добавлять,Inserisci,Lägg till
land,terra,tierra,Land,terrain,grunt,terra,земельные участки,terra,landa
here,aquí,aquí,hier,ici,tutaj,aqui,здесь,qui,här
must,ha,deber,muss,devoir,musi,devo,должен,dovere,måste
big,gran,grande,groß,gros,duża,grande,большой,grande,stor
high,alta,alto,hoch,haute,wysoki,Alto,высокая,alto,hög
such,tals,tal,eine solche,tel,taki,tal,такой,tale,sådan
follow,segueixi,seguir,Folgen,suivre,śledzić,Segue,следить,Seguire,Följ
act,acte,Actuar,Handlung,loi,akt,Aja,действовать,atto,spela teater
ask,preguntar,pedir,Fragen,interroger,zapytać się,perguntar,спросить,Chiedi,fråga
men,homes,hombres,Männer,Hommes,mężczyźni,homens,люди,uomini,män
change,canvi,cambio,Rückgeld,monnaie,zmiana,mudança,сдача,modificare,förändra
light,llum,luz,hell,lumière,światło,leve,легкий,luce,ljus
kind,tipus,tipo,nett,gentil,uprzejmy,Gentil,Добрый,tipo,snäll
off,off,apagado,aus,à l'arrêt,wyłączony,desligado,выключенный,spento,av
need,necessitarà,necesitar,brauchen,besoin,potrzebować,precisar,необходимость,bisogno,behöver
house,casa,casa,Haus,loger,dom,lar,дом,Casa,hus
picture,foto,imagen,Bild,image,obrazek,foto,картина,immagine,bild
try,tractar,probar,Versuchen,essayer,próbować,tentar,пытаться,Tentativo,Prova
us,nosaltres,a nosotros,uns,nous,nas,nós,нас,noi,oss
again,nou,otra vez,wieder,encore,ponownie,novamente,опять таки,ancora,om igen
animal,animals,animal,Tier,animal,zwierzę,animal,животное,animale,djur-
point,punt,punto,Punkt,indiquer,punkt,ponto,точка,punto,punkt
mother,mare,madre,Mutter,mère,matka,mãe,мать,madre,mor
world,món,mundo,Welt,monde,świat,mundo,Мир,mondo,värld
near,prop,cerca,nahe,à proximité,Blisko,aproximar,около,vicino,nära
build,construir,construir,bauen,construire,budować,construir,строить,costruire,bygga
self,acte,uno mismo,selbst,soi,samego siebie,auto,себя,se stesso,själv
earth,terra,tierra,Erde,la terre,Ziemia,terra,земной шар,terra,jord
father,pare,padre,Vater,père,ojciec,pai,отец,padre,far
any,qualsevol,ningún,irgendein,n'importe quel,każdy,algum,Любые,qualunque,några
new,nou,nuevo,Neu,Nouveau,Nowy,novo,новый,nuovo,ny
work,treball,trabajar,Arbeit,travailler,praca,trabalhar,Работа,opera,arbete
part,part,parte,Teil,partie,część,papel,часть,parte,del
take,prendre,tomar,nehmen,prendre,Brać,leva,брать,prendere,ta
get,aconseguir,obtener,erhalten,obtenir,Dostawać,pegue,получить,ottenere,skaffa sig
place,lloc,lugar,Platz,place,miejsce,lugar,место,posto,plats
made,fet,hecha,gemacht,fabriqué,zrobiony,feito,сделанный,fatto,gjord
live,viure,En Vivo,live,Direct,relacja na żywo,viver,жить,abitare,leva
where,on,dónde,wo,où,gdzie,Onde,куда,dove,var
after,després,después,nach,après,po,depois,после,dopo,efter
back,esquena,espalda,der Rücken,retour,plecy,de volta,назад,Indietro,tillbaka
little,poc,poco,wenig,peu,mały,pequena,маленький,piccolo,liten
only,només,solamente,nur,seulement,tylko,só,Только,solo,endast
round,ronda,redondo,runden,tour,okrągły,redondo,круглый,il giro,runda
man,home,hombre,Mann,homme,facet,cara,человек,uomo,man
year,anys,año,Jahr,an,rok,ano,год,anno,år
came,vi,vino,kam,est venu,przyszło,veio,пришел,è venuto,kom
show,espectacle,mostrar,Show,Afficher,pokazać,mostrar,показывать,mostrare,show
every,cada,cada,jeder,tous,każdy,todo,каждый,ogni,varje
good,bona,bueno,gut,bien,Dobry,Boa,хороший,Buona,Bra
me,em,yo,mich,moi,ja,Eu,мне,me,mig
give,donar,dar,geben,donner,dawać,dar,дайте,dare,ge
our,nostra,nuestro,unser,notre,nasz,nosso,наш,i nostri,vår
under,sota,por debajo,unter,en dessous de,pod ,debaixo,под,sotto,under
name,nom,nombre,Name,Nom,Nazwa,nome,имя,nome,namn
very,molt,muy,sehr,très,bardzo,muito,очень,molto,mycket
through,través,mediante,durch,à travers,poprzez,Através dos,через,attraverso,genom
just,només,sólo,nur,juste,tylko,apenas,просто,Appena,bara
form,forma,forma,bilden,formulaire,Formularz,Formato,форма,modulo,form
sentence,frase,frase,Satz,phrase,wyrok,frase,приговор,frase,mening
great,gran,estupendo,Großartig,génial,Świetnie,excelente,большой,grande,bra
think,pensar,pensar,denken,pense,myśleć,acho,считать,pensare,tror
say,dir,decir,sagen,dire,mówić,dizer,сказать,dire,säga
help,ajudar,ayuda,Hilfe,aider,Wsparcie,ajuda,помощь,aiuto,hjälp
low,sota,bajo,niedrig,bas,niski,baixo,низкий,basso,låg
line,línia,línea,Linie,ligne,linia,linha,линия,linea,linje
differ,diferir,diferir de,abweichen,différer,różnić się,diferir,отличается,differire,skilja sig
cause,causa,causa,weil,cause,przyczyna,causa,причина,causa,orsak
much,molt,mucho,viel,beaucoup,dużo,Muito de,много,tanto,mycket
mean,significarà,significar,bedeuten,moyenne,oznaczać,significa,иметь в виду,significare,betyda
before,abans,antes de,Vor,avant de,zanim,antes da,до,prima,innan
move,moviment,Muevete,Bewegung,mouvement,ruszaj się,jogada,шаг,muoversi,flytta
right,dret,Correcto,Rechts,droit,prawo,certo,Правильно,Giusto,höger
boy,nen,chico,Junge,garçon,chłopak,Garoto,мальчик,ragazzo,pojke
old,edat,antiguo,alt,Agé de,stary,velho,старый,vecchio,gammal
too,massa,también,zu,aussi,także,também,слишком,anche,för
same,mateixa,mismo,gleich,même,to samo,mesmo,такой же,stesso,samma
she,ella,ella,sie,elle,Ona,ela,она,lei,hon
all,tot,todos,alle,tout,wszystko,tudo,все,tutto,Allt
there,hi,allá,dort,là,tam,lá,там,là,där
when,quan,cuando,Wenn,lorsque,gdy,quando,когда,quando,när
up,fins,arriba,hoch,en haut,w górę,acima,вверх,su,upp
use,ús,usar,verwenden,utilisation,posługiwać się,usar,использовать,uso,använda sig av
your,seva,su,dein,ton,twój,sua,ваш,tuo,din
way,camí,camino,Weg,façon,droga,caminho,путь,modo,sätt
about,sobre,sobre,um,sur,o,cerca de,о,di,handla om
many,molts,muchos,viele,de nombreux,wiele,muitos,много,molti,många
then,continuació,después,dann,alors,następnie,então,тогда,poi,sedan
them,ells,a ellos,Sie,leur,ich,eles,их,loro,dem
write,escriure,escribe,schreiben,écrivez,pisać,Escreva,записывать,scrivere,skriva
would,faria,haría,möchten,aurait,zrobiłbym,gostaria,бы,voluto,skulle
like,com,me gusta,wie,Comme,tak jak,Curti,как,piace,tycka om
so,així,asi que,Also,alors,więc,assim,так,Così,så
these,aquests,estas,diese,ces,te,esses,эти,queste,dessa
her,seva,su,Sie,son,ją,sua,ей,suo,henne
long,llarg,largo,lang,long,długie,grandes,длинная,lungo,lång
make,fer,hacer,machen,Fabriquer,robić,faço,делать,rendere,göra
thing,cosa,cosa,Ding,chose,rzecz,coisa,вещь,cosa,sak
see,veure,ver,sehen,voir,Widzieć,Vejo,видеть,vedere,ser
him,ell,a él,ihn,lui,jego,dele,его,lui,honom
two,dos,dos,zwei,deux,dwa,dois,два,Due,två
has,té,posee,hat,a,ma,tem,имеет,ha,har
look,buscar,Mira,sehen,voir,wyglądać,olhar,Смотреть,Guarda,se
more,més,más,mehr,Suite,jeszcze,mais,более,Di più,Mer
day,dia,día,Tag,journée,dzień,dia,день,giorno,dag
could,podia,pudo,könnte,pourrait,mógłby,poderia,мог,Potevo,skulle kunna
go,anar,Vamos,gehen,aller,iść,vai,идти,andare,gå
come,venir,venir,Kommen Sie,viens,chodź,venha,прийти,venire,komma
number,nombre,número,Nummer,Numéro,numer,número,количество,numero,siffra
sound,so,sonido,Klang,du son,dźwięk,som,звук,suono,ljud
no,no,no,nein,non,nie,não,нет,No,Nej
most,més,la mayoría,die meisten,plus,bardzo,a maioria,самый,più,mest
people,persones,gente,Personen,personnes,ludzie,pessoas,люди,le persone,människor
my,meu,mi,mein,ma,mój,minha,мой,mio,min
over,sobre,sobre,Über,plus de,koniec,sobre,над,Sopra,över
know,saber,saber,kennt,connaître,wiedzieć,conhecer,знать,sapere,känna till
water,aigua,agua,Wasser,l'eau,woda,agua,вода,acqua,vatten
than,que,que,als,que,niż,do que,чем,di,än
call,anomenada,llamar,Anruf,appel,połączenie,ligar,вызов,chiamata,ringa upp
first,primer,primero,Erste,première,pierwszy,primeiro,первый,primo,först
who,que,quién,wer,qui,kto,quem,кто,chi,WHO
may,pot,mayo,kann,peut,może,poderia,май,Maggio,Maj
down,baix,abajo,Nieder,vers le bas,na dół,baixa,вниз,fuori uso,ner
side,costat,lado,Seite,côté,bok,lado,сторона,lato,sida
been,estat,estado,gewesen,a été,został,estive,был,stato,varit
now,ara,ahora,jetzt,à présent,Teraz,agora,в настоящее время,adesso,nu
find,trobar,encontrar,finden,trouver,odnaleźć,achar,найти,trova,hitta
head,cap,cabeza,Kopf,tête,głowa,cabeça,глава,testa,huvud
own,propi,propio,besitzen,posséder,własny,ter,собственный,possedere,egen
page,pàgina,página,Seite,page,strona,página,страница,pagina,sida
should,ha,debería,sollte,devrait,powinien,deve,должен,dovrebbe,skall
country,país,país,Land,pays,kraj,país,страна,nazione,Land
found,trobat,fundar,gefunden,trouvé,znaleziony,encontrado,найденный,fondare,hittades
answer,resposta,responder,Antworten,réponse,odpowiadać,responda,отвечать,Rispondere,svar
school,escola,escuela,Schule,école,szkoła,escola,школа,scuola,skola
grow,créixer,crecer,größer werden,grandir,rosnąć,crescer,расти,crescere,växa
study,estudi,estudiar,lernen,étude,nauka,estudar,исследование,studia,studie
still,encara,todavía,still,toujours,nadal,ainda,Все еще,ancora,fortfarande
learn,aprendre,aprender,lernen,apprendre,uczyć się,aprender,учиться,imparare,lära sig
plant,planta,planta,Pflanze,plante,zakład,plantar,завод,pianta,växt
cover,coberta,cubrir,Startseite,couverture,pokrywa,cobrir,покрытие,coperchio,omslag
food,aliments,alimento,Lebensmittel,aliments,jedzenie,Comida,еда,cibo,mat
sun,sol,sol,Sonne,Soleil,słońce,Sol,солнце,sole,Sol
four,saber,cuatro,vier,quatre,cztery,quatro,четыре,quattro,fyra
between,entre,Entre,zwischen,entre,pomiędzy,entre,между,fra,mellan
state,estat,estado,Zustand,Etat,państwo,Estado,государство,stato,stat
keep,mantenir,mantener,behalten,donjon,trzymać,guarda,хранить,mantenere,ha kvar
eye,ull,ojo,Auge,œil,oko,olho,глаз,occhio,öga
never,mai,nunca,noch nie,jamais,nigdy,Nunca,никогда,mai,aldrig
last,última,ultimo,letzte,dernière,ostatni,último,последний,Ultimo,sista
let,deixar,dejar,Lassen,laisser,wynajmować,deixar,позволять,permettere,låta
thought,pensat,pensamiento,Gedanke,pensait,myśl,pensamento,мысль,pensiero,trodde
city,ciutat,ciudad,Stadt,ville,Miasto,cidade,город,città,stad
tree,arbre,árbol,Baum,arbre,drzewo,árvore,дерево,albero,träd
cross,creuar,cruz,Kreuz,traverser,krzyż,Cruz,Пересекать,attraverso,korsa
farm,granja,granja,Bauernhof,cultiver,gospodarstwo rolne,Fazenda,ферма,azienda agricola,odla
hard,dur,difícil,schwer,dur,ciężko,duro,жесткий,difficile,hård
start,inici,comienzo,Anfang,début,początek,começar,Начало,inizio,Start
might,podria,puede que,könnte,force,móc,poderia,мощь,potrebbe,makt
story,història,historia,Geschichte,histoire,fabuła,história,история,storia,berättelse
saw,serra,sierra,gesehen,vu,widział,viu,пила,sega,fick syn på
far,ara,lejos,weit,loin,daleko,distante,далеко,lontano,långt
sea,mar,mar,Meer,mer,morze,mar,море,mare,hav
draw,dibuixar,dibujar,zeichnen,dessiner,remis,empate,рисовать,disegno,dra
left,esquerra,izquierda,links,la gauche,lewy,deixei,оставил,sinistra,vänster
late,tarda,tarde,spät,en retard,późno,tarde,поздно,tardi,sent
run,run,correr,Lauf,Cours,biegać,corre,бежать,correre,springa
don’t,no,no,nicht,ne le faites pas,Nie,não,не,non,inte
while,mentre,tiempo,während,tandis que,podczas gdy,enquanto,пока,mentre,medan
press,premsa,prensa,Drücken Sie,presse,naciśnij,pressione,Нажмите,stampa,Tryck
close,prop,cerca,nah dran,proche,blisko,perto,Закрыть,chiudere,stänga
night,nit,noche,Nacht,nuit,noc,noite,ночь,notte,natt
real,reals,real,real,réel,prawdziwy,real,настоящий,vero,verklig
life,vida,vida,Leben,la vie,życie,vida,жизнь,vita,liv
few,pocs,pocos,wenig,peu,mało,alguns,несколько,pochi,få
north,nord,norte,Norden,Nord,północ,norte,к северу,nord,norr
book,llibre,libro,Buchen,livre,książka,livro,книга,prenotare,bok
carry,portar,llevar,tragen,porter,mieć przy sobie,carregar,нести,trasportare,bära
took,prendre,tomó,nahm,ont pris,wzięła,tomou,взял,ha preso,tog
science,ciència,Ciencias,Wissenschaft,la science,nauki ścisłe,Ciência,наука,scienza,vetenskap
eat,menjar,comer,Essen,manger,jeść,comer,есть,mangiare,äta
room,habitació,habitación,Zimmer,chambre,Pokój,quarto,номер,camera,rum
friend,amic,amigo,Freund,ami,przyjaciel,amigo,друг,amico,vän
began,començar,empezó,begann,a commencé,zaczął się,começou,началось,iniziò,påbörjade
idea,idea,ocurrencia,Idee,idée,pomysł,idéia,идея,idea,aning
fish,peixos,pez,Fische,poisson,ryba,peixe,рыбы,pesce,fisk
mountain,muntanya,montaña,Berg,Montagne,Góra,montanha,гора,montagna,fjäll
stop,aturi,deténgase,Pause,arrêt,Zatrzymaj się,Pare,остановка,fermare,sluta
once,uncop,una vez,einmal,une fois que,raz,uma vez,однажды,una volta,en gång
base,base,base,Base,base,baza,base,база,base,bas
hear,escoltar,oír,hören,écouter,słyszeć,ouvir,слышать,ascoltare,höra
horse,cavall,caballo,Pferd,cheval,koń,cavalo,лошадь,cavallo,häst
cut,tall,Corte,schneiden,Couper,skaleczenie,cortar,резать,tagliare,skära
sure,segur,Por supuesto,sicher,Bien sur,Jasne,claro,Конечно,sicuro,Säker
watch,veure,reloj,Uhr,Regardez,zegarek,ver,смотреть,guarda,Kolla på
colour,color,color,Farbe,Couleur,kolor,cor,цвет,colore,Färg
face,cara,cara,Gesicht,Visage,Twarz,enfrentar,лицо,viso,ansikte
wood,fusta,madera,Holz,bois,drewno,madeira,древесина,Di legno,trä
main,principal,principal,hauptsächlich,principale,Główny,a Principal,главный,principale,huvudsaklig
open,oberta,abierto,offen,ouvert,otwarty,abrir,открытым,aprire,öppna
seem,sembla,parecer,erscheinen,sembler,wydać się,parecer,казаться,sembrare,verka
together,junts,juntos,zusammen,ensemble,razem,juntos,вместе,insieme,tillsammans
next,següent,Siguiente,nächste,Suivant,następny,próximo,следующий,prossimo,Nästa
white,blanc,blanco,Weiß,blanche,biały,branco,белый,bianca,vit
children,nens,niños,Kinder,enfants,dzieci,crianças,дети,figli,barn
begin,començar,empezar,Start,commencer,zaczynać,começar,начинать,inizio,Börja
got,aconseguit,obtuvo,habe,a obtenu,dostał,pegou,есть,avuto,gett
walk,caminar,caminar,Spaziergang,marche,spcerować,andar,ходить,camminare,promenad
example,exemple,ejemplo,Beispiel,Exemple,przykład,exemplo,пример,esempio,exempel
ease,alleujar,facilitar,Leichtigkeit,faciliter,łatwość,facilidade,простота,sollievo,lätthet
paper,paper,papel,Papier,papier,papier,papel,бумага,carta,papper
group,grup,grupo,Gruppe,groupe,Grupa,grupo,группа,gruppo,grupp
always,sempre,siempre,stets,toujours,zawsze,sempre,всегда,sempre,alltid
music,música,música,Musik,musique,muzyka,música,Музыка,musica,musik
those,els,aquellos,diese,ceux,tych,Essa,те,quelli,de där
both,tant,ambas cosas,beide,tous les deux,Zarówno,Ambas,оба,Entrambi,både
mark,marca,Marcos,Kennzeichen,marque,znak,marca,отметка,marchio,markera
often,sovint,con frecuencia,häufig,souvent,często,muitas vezes,довольно часто,Spesso,ofta
letter,carta,carta,Buchstabe,lettre,list,carta,письмо,lettera,brev
until,fins,Hasta que,bis um,jusqu'à,aż do,até,до того как,Fino a,fram tills
mile,milla,milla,Meile,mile,Mila,milha,миля,miglio,mile
river,riu,río,Fluss,fleuve,rzeka,rio,река,fiume,flod
car,cotxe,coche,Wagen,auto,samochód,carro,автомобиль,macchina,bil
feet,peus,pies,Fuß,pieds,stopy,pés,ноги,piedi,fötter
care,cura,cuidado,Pflege,se soucier,opieka,Cuidado,забота,cura,vård
second,segon,segundo,zweite,deuxième,druga,segundo,второй,secondo,andra
enough,suficient,suficiente,genügend,suffisant,wystarczająco ,o suficiente,достаточно,abbastanza,tillräckligt
plain,pla,sencillo,schmucklos,plaine,zwykły,avião,простой,pianura,enkel
girl,noia,chica,Mädchen,fille,dziewczyna,menina,девочка,ragazza,flicka
usual,habitual,habitual,üblich,habituel,zwykły,usual,обычный,solito,vanliga
young,jove,joven,jung,Jeune,młody,jovem,молодой,giovane,ung
ready,llest,Listo,bereit,prêt,gotowy,pronto,готовы,pronto,redo
above,persobre,arriba,Oben,au dessus,nad,acima de,выше,sopra,ovan
ever,mai,alguna vez,je,déjà,zawsze,sempre,Когда-либо,mai,någonsin
red,vermell,rojo,rot,rouge,czerwony,vermelho,красный,rosso,röd
list,llista,lista,aufführen,liste,lista,Lista,список,elenco,lista
though,encara,aunque,obwohl,pourtant,chociaż,no entanto,хотя,anche se,fastän
feel,sentir,sentir,Gefühl,se sentir,czuć,sentir,Чувствовать,tatto,känna
talk,xerrada,hablar,sich unterhalten,parler,rozmowa,conversa,разговаривать,parlare,prata
bird,ocell,pájaro,Vogel,oiseau,ptak,pássaro,птица,uccello,fågel
soon,aviat,pronto,demnächst,bientôt,wkrótce,em breve,скоро,presto,snart
body,cos,cuerpo,Karosserie,corps,ciało,corpo,тело,corpo,kropp
dog,gos,perro,Hund,chien,pies,cão,собака,cane,hund
family,família,familia,Familie,famille,rodzina,família,семья,famiglia,familj
direct,directa,directo,Direkte,direct,bezpośredni,direto,непосредственный,diretto,direkt
pose,plantejar,pose,Pose,pose,poza,pose,поза,posa,utgör
leave,deixar,abandonar,verlassen,Pars,Odejdź,sair,оставлять,partire,lämna
song,cançó,canción,Lied,chanson,utwór muzyczny,música,песня,canzone,låt
measure,mesurar,medida,messen,mesure,mierzyć,a medida,мера,misurare,mäta
door,porta,puerta,Tür,porte,drzwi,porta,дверь,porta,dörr
product,producte,producto,Produkt,produit,produkt,produtos,товар,Prodotto,produkt
black,negre,negro,Schwarz,le noir,czarny,Preto,черный,Nero,svart
short,curta,corto,kurz,court,niski,curto,короткая,breve,kort
numeral,numeral,número,Ziffer,numéral,liczbowy,numeral,цифра,numerale,siffra
class,classe,clase,Klasse,classer,klasa,classe,учебный класс,classe,klass
wind,vent,viento,Wind,vent,wiatr,vento,ветер,vento,vind
question,pregunta,pregunta,Frage,question,pytanie,pergunta,вопрос,domanda,fråga
happen,succeir,suceder,passieren,se produire,zdarzyć,acontecer,случаться,accadere,hända
complete,completa,completo,Komplett,Achevée,kompletny,completo,полный,completare,komplett
ship,vaixell,Embarcacion,Schiff,bateau,statek,navio,судно,nave,fartyg
area,zona,área,Bereich,Région,powierzchnia,área,область,la zona,område
half,mitjà,mitad,halb,demi,połowa,metade,половина,metà,halv
rock,roca,roca,Felsen,rock,głaz,Rocha,рок,roccia,sten
order,fi,ordenar,bestellen,ordre,zamówienie,ordem,заказ,ordine,ordning
fire,foc,fuego,Feuer,Feu,ogień,incêndio,Огонь,fuoco,brand
south,sud,sur,Süden,sud,południe,sul,юг,Sud,söder
problem,problema,problema,Problem,problème,problem,problema,проблема,problema,problem
piece,peça,pieza,Stück,pièce,kawałek,peça,кусок,pezzo,bit
told,dit,dicho,gesagt,Raconté,powiedział,contou,сказал,detto,berättade
knew,sabia,supo,wusste,connaissait,Wiedziałem,sabia,знал,conosceva,visste
pass,passar,pasar,passieren,passer,podawać,passar,проходить,passaggio,passera
since,des,ya que,seit,puisque,odkąd,desde,поскольку,da,eftersom
top,superior,parte superior,oben,Haut,Top,topo,Топ,superiore,topp
whole,tot,entero,ganz,ensemble,cały,todo,весь,totale,hela
king,rei,rey,König,Roi,król,rei,король,re,kung
street,carrer,calle,Straße,rue,ulica,rua,улица,strada,gata
inch,polzades,pulgada,Zoll,pouce,cal,polegada,дюйм,pollice,tum
multiply,multiplicar,multiplicar,multiplizieren,multiplier,zwielokrotniać,multiplicar,умножить,moltiplicare,multiplicera
nothing,res,nada,nichts,rien,nic,nada,ничего такого,niente,ingenting
course,curs,curso,Kurs,cours,kurs,curso,курс,corso,kurs
stay,quedar,Quédate,bleibe,rester,zostawać,fique,остаться,restare,stanna kvar
wheel,roda,rueda,Rad,la roue,koło,roda,рулевое колесо,ruota,hjul
full,complet,completo,voll,plein,pełny,cheio,полный,completo,full
force,força,fuerza,Macht,Obliger,zmuszać,força,сила,forza,tvinga
blue,blau,azul,blau,bleu,niebieski,azul,синий,blu,blå
object,objecte,objeto,Objekt,objet,obiekt,objeto,объект,oggetto,objekt
decide,decidir,decidir,sich entscheiden,décider,zdecydować,decidir,решать,decidere,besluta
surface,superfície,superficie,auftauchen,surface,powierzchnia,superfície,поверхность,superficie,yta
deep,profunda,profundo,tief,Profond,głęboko,profundo,глубокий,profondo,djup
moon,lluna,luna,Mond,lune,księżyc,lua,луна,Luna,måne
island,illa,isla,Insel,île,wyspa,ilha,остров,isola,ö
foot,peu,pie,Fuß,le pied,stopa,pé,ступня,piede,fot
