angles,catala,espanyol,alemany,frances,polones,portugues,rus,italia,suec
system,sistema,sistema,System,système,system,sistema,система,sistema,systemet
busy,ocupat,ocupado,belebt,occupé,zajęty,ocupado,занятый,occupato,upptagen
test,prova,prueba,Prüfung,test,test,teste,тест,test,testa
record,registre,registro,Aufzeichnung,enregistrement,nagrywać,registro,записывать,disco,spela in
boat,vaixell,barco,Boot,bateau,łódź,barco,лодка,barca,båt
common,comú,común,gemeinsames,commun,wspólny,comum,общий,Comune,allmänning
gold,or,oro,Gold,or,złoto,ouro,золото,oro,guld-
possible,possible,posible,möglich,possible,możliwy,possível,возможный,possibile,möjlig
plane,pla,plano,Flugzeug,avion,samolot,avião,самолет,aereo,plan
stead,lloc,lugar,Statt,place,STEAD,lugar,устойчивый,poster,ställe
dry,seca,seco,trocken,sec,suchy,seco,сухой,asciutto,torr
wonder,pregunto,preguntarse,sich fragen,merveille,cud,maravilha,удивляться,meraviglia,undra
laugh,riure,risa,Lachen,rire,śmiać się,riso,смех,ridere,skratt
thousand,mil,mil,tausend,mille,tysiąc,mil,тысяча,mille,tusen
ago,fa,atrás,vor,depuis,temu,atrás,назад,fa,sedan
ran,córrer,corrió,rannte,couru,biegł,correu,пробег,corse,sprang
check,comprovar,controlar,überprüfen,Chèque,sprawdzać,Verifica,Проверьте,dai un'occhiata,kolla upp
game,joc,juego,Spiel,Jeu,gra,jogos,игра,gioco,spel
shape,forma,forma,Form,forme,kształt,forma,форма,forma,form
equate,equiparar,equiparar,gleich,assimiler,zrównać,igualar,Приравнивание,equipaggiare,likställa
hot,calenta,caliente,heiß,chaud,gorący,quente,горячий,piccante,varm
miss,senyoreta,señorita,fehlschlagen,Mademoiselle,tęsknić,senhorita,скучать,Perdere,Fröken
brought,portat,trajo,gebracht,amené,przyniósł,trouxeram,привел,portato,tog med
heat,calor,calor,Wärme,Chauffer,ciepło,aquecer,нагревать,calore,värme
snow,neu,nieve,Schnee,neiger,śnieg,neve,снег,neve,snö
tire,pneumàtics,neumático,Reifen,pneu,opona,pneu,шина,pneumatico,däck
bring,portar,traer,bringen,apporter,przynieść,trazer,приносить,portare,föra
yes,si,sí,Jawohl,oui,tak,sim,да,sì,ja
distant,distant,distante,entfernt,loin,odległy,distante,далекий,distante,avlägsen
fill,omplir,llenar,füllen,remplir,wypełnić,encher,наполнять,riempire,fylla
paint,pintar,pintar,Farbe,Peinture,farba,pintar,краска,dipingere,måla
language,idioma,idioma,Sprache,Langue,język,Língua,язык,linguaggio,språk
among,entre,entre,unter,parmi,wśród,dentre,среди,fra,bland
unit,unitat,unidad,Einheit,unité,jednostka,unidade,Ед изм,unità,enhet
power,poder,energía,Energie,Puissance,moc,potência,сила,potenza,kraft
town,ciutat,pueblo,stadt,ville,miasto,Cidade,городок,cittadina,stad
fine,fina,multa,fein,bien,Cienki,multar,отлично,bene,bra
certain,certa,cierto,sicher,certain,pewny,certo,определенный,certo,vissa
fly,volar,volar,fliegen,mouche,latać,voe,летать,volare,flyga
fall,caure,otoño,Herbst,tomber,spadek,cair,падение,autunno,falla
lead,conduir,Plomo,führen,conduire,Ołów,conduzir,привести,piombo,leda
cry,crit,llorar,Schrei,cri,płakać,choro,плакать,piangere,gråta
dark,fosc,oscuro,dunkel,foncé,ciemny,Sombrio,темный,scuro,mörk
machine,màquina,máquina,Maschine,machine,maszyna,máquina,машина,macchina,maskin
note,nota,Nota,Hinweis,Remarque,Notatka,Nota,примечание,Nota,notera
wait,esperar,Espere,Warten,Attendez,czekać,esperar,ждать,aspettare,vänta
plan,pla,plan,planen,planifier,plan,plano,план,Piano,planen
figure,figura,figura,Zahl,chiffre,postać,figura,фигура,figura,figur
star,estrella,estrella,Stern,étoile,gwiazda,Estrela,звезда,stella,stjärna
box,quadre,caja,Kasten,boîte,skrzynka,caixa,коробка,scatola,låda
noun,substantiu,sustantivo,Substantiv,nom,rzeczownik,substantivo,существительное,sostantivo,substantiv
field,terreny,campo,aufstellen,champ,pole,campo,поле,campo,fält
rest,resta,descansar,sich ausruhen,le repos,reszta,descanso,отдыхать,riposo,resten
correct,correcta,correcto,Korrekt,corriger,prawidłowy,correto,правильный,corretta,korrekt
able,capaç,poder,fähig,pouvoir,zdolny,capaz,способный,capace,duktig
pound,lliura,libra,Pfund,livre,funt,libra,фунт,libbra,pund
done,done,hecho,erledigt,Fini,Gotowe,feito,Выполнено,fatto,Gjort
beauty,bellesa,belleza,Schönheit,beauté,piękno,beleza,красота,bellezza,skönhet
drive,unitat,conducir,Fahrt,conduire,prowadzić,dirigir,водить машину,viaggio,kör
stood,destacat,permaneció,stand,se trouvait,stał,permaneceu,стоял,stava in piedi,stod
contain,contenir,contener,enthalten,contenir,zawierać,conter,содержать,contenere,innehålla
front,davant,frente,Vorderseite,de face,przód,frente,фронт,davanti,främre
teach,ensenyar,enseñar,unterrichten,apprendre,uczyć,Ensinar,учить,insegnare,lära
week,setmana,semana,Woche,la semaine,tydzień,semana,неделя,settimana,vecka
final,definitiva,final,Finale,final,finał,final,финал,finale,slutlig
gave,vadonar,dio,gab,a donné,dał,deram,дал,ha dato,gav av
green,verd,verde,grün,vert,Zielony,verde,зеленый,verde,grön
oh,oh,Oh,oh,oh,oh,oh,ой,oh,åh
quick,ràpid,rápido,schnell,rapide,szybki,rápido,быстрый,Presto,snabbt
develop,desenvolupar,desarrollar,sich entwickeln,développer,rozwijać,desenvolve,развивать,sviluppare,utveckla
ocean,oceà,Oceano,Ozean,océan,ocean,oceano,океан,oceano,hav
warm,calenta,cálido,warm,chaleureuse,ciepły,caloroso,тепло,caldo,värma
free,lliure,libre,frei,libre,darmowy,gratuitamente,свободно,gratuito,fri
minute,minuts,minuto,Minute,minute,minuta,minuto,минута,minuto,minut
strong,fort,fuerte,stark,fort,silny,Forte,сильный,forte,stark
special,especial,especial,Besondere,spécial,specjalny,especial,специальный,speciale,särskild
mind,ment,mente,Geist,dérange,umysł,mente,разум,mente,sinne
behind,darrere,detrás,hinter,derrière,za,atras do,позади,dietro,Bakom
clear,clar,claro,klar,dégager,jasne,Claro,Чисто,chiaro,klar
tail,cua,cola,Schwanz,queue,ogon,rabo,хвост,coda,svans
produce,produeix,producir,produzieren,produire,produkować,produzir,производить,produrre,producera
fact,fet,hecho,Tatsache,fait,fakt,facto,факт,fatto,faktum
space,espai,espacio,Platz,espace,przestrzeń,espaço,пространство,spazio,Plats
heard,sentit,Escuchó,gehört,entendu,usłyszał,ouviu,слышал,sentito,hörd
best,millor,mejor,Beste,meilleur,Najlepsza,melhor,Лучший,migliore,bäst
hour,hores,hora,Stunde,heure,godzina,hora,час,ora,timme
better,millor,mejor,besser,meilleur,lepiej,Melhor,лучше,meglio,bättre
TRUE,cert,CIERTO,STIMMT,vrai,PRAWDA,VERDADE,ПРАВДА,VERO,SANN
during,durant,durante,während,durant,w trakcie,durante,в течение,in occasione,under
hundred,cent,ciento,hundert,cent,sto,centenas,сотня,centinaio,hundra
five,llit,cinco,fünf,cinq,pięć,cinco,пять,cinque,fem
remember,recordar,recuerda,denken Sie daran,rappelles toi,Zapamiętaj,lembrar,запомнить,ricordare,kom ihåg
step,pas,paso,Schritt,marcher,krok,degrau,шаг,fare un passo,steg
early,primerenca,temprano,frühzeitig,tôt,wczesny,cedo,рано,presto,tidigt
hold,mantenir,mantener,halt,tenir,utrzymać,aguarde,держать,presa,håll
west,oest,Oeste,Westen,Ouest,Zachód,Oeste,западный,ovest,väst
ground,sòl,terrestre,Boden,terrain,grunt,chão,земля,terra,jord
interest,interès,interés,Interesse,intérêt,odsetki,interesse,интерес,interesse,intressera
reach,arribar,alcanzar,erreichen,atteindre,zasięg,alcançar,достигать,portata,nå
fast,ràpid,rápido,schnell,vite,szybki,velozes,быстро,veloce,snabb
verb,verb,verbo,Verb,verbe,czasownik,verbo,глагол,verbo,verb
sing,cantar,cantar,singen,chanter,śpiewać,canta,петь,cantare,sjunga
listen,escoltar,escuchar,Hören,Ecoutez,słuchać,ouço,Слушать,ascoltare,lyssna
six,passeig,seis,sechs,six,sześć,seis,шесть,sei,sex
table,taula,mesa,Tisch,table,stół,tabela,стол,tavolo,tabell
travel,viatges,viajar,reisen,voyager,podróż,viagem,путешествовать,viaggiare,resa
less,menys,menos,weniger,moins,mniej,menos,меньше,meno,mindre
morning,demà,Mañana,Morgen,Matin,rano,manhã,утро,mattina,morgon-
ten,estrany,diez,zehn,Dix,dziesięć,dez,десять,dieci,tio
simple,simple,simple,einfach,Facile,prosty,simples,просто,semplice,enkel
several,diversos,varios,mehrere,plusieurs,kilka,de várias,несколько,parecchi,flera
vowel,vocal,vocal,Vokal,voyelle,samogłoska,vogal,гласный звук,vocale,vokal
toward,cap,hacia,zu,vers,w kierunku,na direção,к,verso,mot
war,guerra,guerra,Krieg,guerre,wojna,guerra,война,guerra,krig
lay,establir,poner,legen,allonger,kłaść,colocar,класть,posizione,lägga
against,contra,contra,gegen,contre,przeciwko,contra,против,contro,mot
pattern,patró,patrón,Muster,motif,wzorzec,padronizar,шаблон,modello,mönster
slow,lenta,lento,langsam,lent,wolny,lento,медленный,Lento,långsam
center,centre,centro,Center,centre,środek,Centro,центр,centro,Centrum
love,estimar,amor,Liebe,aimer,kocham,amor,любовь,amore,kärlek
person,persona,persona,Person,la personne,osoba,pessoa,человек,persona,person
money,diners,dinero,Geld,argent,pieniądze,dinheiro,Деньги,i soldi,pengar
serve,servir,atender,Dienen,servez,obsługiwać,servir,обслуживать,servire,tjäna
appear,apareixerà,Aparecer,erscheinen,apparaître,pojawić się,aparecer,появляться,apparire,dyka upp
road,carretera,la carretera,Straße,route,droga,estrada,Дорога,strada,väg
map,mapa,mapa,Karte,carte,mapa,mapa,карта,carta geografica,Karta
rain,pluja,lluvia,Regen,pluie,deszcz,chuva,дождь,piovere,regn
rule,regla,regla,Regel,régner,reguła,regra,правило,regola,regel
govern,governar,regir,regieren,gouverne,rządzić,governo,управляющий,governare,styra
pull,halar,jalar,ziehen,tirer,ciągnąć,puxar,тянуть,tiro,dra
cold,fred,frío,kalt,froid,przeziębienie,resfriado,холодно,freddo,kall
notice,avís,aviso,Notiz,remarquer,zauważyć,perceber,уведомление,Avviso,lägga märke till
voice,veu,voz,Stimme,voix,głos,voz,голос,voce,röst
energy,energia,energía,Energie,énergie,energia,energia,энергия,energia,energi
hunt,caça,caza,Jagd,chasse,polowanie,caçar,охотиться,caccia,jaga
probable,probable,probable,wahrscheinlich,probable,prawdopodobny,provável,Вероятный,probabile,sannolik
bed,llit,cama,Bett,lit,łóżko,cama,кровать,letto,säng
brother,germà,hermano,Bruder,frère,brat,irmão,брат,fratello,bror
egg,ou,huevo,Ei,Oeuf,jajko,ovo,яйцо,uovo,ägg
ride,passeig,conducir,Reiten,balade,jeździć,passeio,поездка,giro,rida
cell,cellular,célula,Zelle,cellule,komórka,célula,клетка,cellula,cell
believe,creure,creer,glauben,croire,uważać,acreditam,полагать,ritenere,tro
perhaps,potser,quizás,vielleicht,peut-être,być może,talvez,возможно,forse,kanske
pick,recollir,elegir,wählen,prendre,wybierać,escolha,выбирать,scegliere,plocka
sudden,sobtada,repentino,plötzlich,soudain,nagły,repentino,внезапный,improvviso,plötslig
count,comptar,contar,zählen,compter,liczyć,contar,считать,contare,räkna
square,plaça,cuadrado,Quadrat,carré,kwadrat,quadrado,площадь,quadrato,fyrkant
reason,raó,razón,Grund,raison,powód,razão,причина,Motivo,anledning
length,longitud,longitud,Länge,longueur,długość,comprimento,длина,lunghezza,längd
represent,representar,representar,vertreten,représenter,przedstawiać,representar,представлять,rappresentare,representera
art,art,Arte,Kunst,art,sztuka,arte,искусство,arte,konst
subject,subjecte,tema,Thema,matière,Przedmiot,sujeito,предмет,materia,ämne
region,regió,región,Region,Région,region,região,область,regione,område
size,mida,Talla,Größe,Taille,rozmiar,Tamanho,размер,taglia,storlek
vary,variar,variar,variieren,varier,różnić się,variar,отличаться,variare,variera
settle,resoldre,asentarse,siedeln,régler,rozstrzygnąć,resolver,решить,fissare,bosätta sig
speak,parlar,hablar,sprechen,parler,mówić,falar,говорить,parlare,tala
weight,pes,peso,Gewicht,lester,waga,peso,масса,il peso,vikt
general,engeneral,general,Allgemeines,général,ogólny,em geral,Генеральная,generale,allmän
ice,gel,hielo,Eis,la glace,lód,gelo,лед,Ghiaccio,is
matter,qüestió,asunto,Angelegenheit,question,materiał,matéria,иметь значение,importa,materia
circle,cercle,circulo,Kreis,cercle,okrąg,círculo,круг,cerchio,cirkel
pair,parell,par,Paar,paire,para,par,пара,coppia,par
include,incloure,incluir,enthalten,comprendre,włączać,incluir,включают,includere,omfatta
divide,bretxa,dividir,teilen,diviser,dzielić,dividir,разделять,dividere,dela upp
syllable,síl·laba,sílaba,Silbe,syllabe,sylaba,sílaba,слог,sillaba,stavelse
felt,sentit,sintió,fühlte,feutre,filc,sentiu,чувствовала,provato,känt
grand,grand,grandioso,Grand,grandiose,wielki,grande,гранд,mille dollari,stor
ball,bola,pelota,Ball,Balle,piłka,bola,мяч,sfera,boll
yet,encara,aún,noch,encore,już,ainda,пока что,ancora,än
wave,onada,ola,Welle,vague,fala,aceno,волна,onda,Vinka
drop,caure,soltar,fallen,goutte,upuszczać,derrubar,уронить,far cadere,släppa
heart,cor,corazón,Herz,cœur,serce,coração,сердце,cuore,hjärta
am,am,soy,bin,un m,jestem  ,sou,являюсь,sono,Jag är
present,aquest,presente,gegenwärtig,cadeau,teraźniejszość,presente,подарок,regalo,närvarande
heavy,pesada,pesado,schwer,lourd,ciężki,pesado,тяжелый,pesante,tung
dance,dansa,baile,tanzen,Danse,taniec,dança,танец,danza,dansa
engine,motor,motor,Motor,moteur,silnik,motor,двигатель,motore,motor
position,posició,posición,Position,position,pozycja,posição,должность,posizione,placera
arm,braç,brazo,Arm,bras,ramię,braço,рука,braccio,ärm
wide,àmplia,amplio,breit,large,szeroki,largo,широкий,largo,bred
sail,vela,navegar,Segel,naviguer,żagiel,velejar,плыть,navigare,segla
material,materials,material,Material,Matériel,materiał,material,материал,Materiale,material
fraction,fracció,fracción,Fraktion,fraction,frakcja,fração,дробная часть,frazione,fraktion
forest,bosc,bosque,Wald,forêt,las,floresta,лес,foresta,skog
sit,seure,sentar,mach Sitz,asseoir,siedzieć,sentar,сидеть,sedersi,sitta
race,carrera,la raza,Rennen,course,Wyścig,corrida,гонка,gara,lopp
window,finestra,ventana,Fenster,la fenêtre,okno,janela,окно,finestra,fönster
store,botiga,Tienda,Laden,boutique,sklep,armazenar,хранить,negozio,Lagra
summer,estiu,el verano,Sommer,été,lato,verão,лето,estate,sommar
train,tren,tren,Zug,former,pociąg,Comboio,тренироваться,treno,tåg
sleep,somni,dormir,schlafen,dormir,spać,dorme,спать,dormire,sova
prove,demostrar,demostrar,beweisen,prouver,udowodnić,provar,доказывать,dimostrare,bevisa
lone,solitari,solitario,einsam,seul,samotny,solitário,одинокий,solitario,ensam
leg,cama,pierna,Bein,jambe,noga,perna,нога,gamba,ben
exercise,exercici,ejercicio,Übung,exercer,ćwiczenie,exercício,упражнение,esercizio,träning
wall,paret,pared,Mauer,mur,Ściana,muro,стена,parete,vägg
catch,captures,captura,Fang,attraper,złapać,truque,ловить,presa,fånga
mount,muntatge,montar,montieren,monter,uchwyt,montar,устанавливать,montare,montera
wish,desitjos,deseo,Wunsch,souhaiter,życzenie,desejar,желание,desiderio,önskar
sky,cel,cielo,Himmel,ciel,niebo,céu,небо,cielo,himmel
board,bord,junta,Tafel,planche,tablica,quadro,доска,asse,styrelse
joy,alegria,alegría,Freude,joie,radość,alegria,радость,la gioia,glädje
winter,hivern,invierno,Winter,l'hiver,zima,inverno,зима,inverno,vinter-
sat,sat,se sentó,Sa,assis,Sat,sentado,сидел,sab,sat
written,escrit,escrito,geschrieben,écrit,pisemny,escrito,написано,scritto,skriven
wild,salvatge,salvaje,wild,sauvage,dziki,selvagem,дикий,selvaggio,vild
instrument,instrument,instrumento,Instrument,instrument,instrument,instrumento,инструмент,strumento,instrument
kept,guardat,mantuvo,gehalten,gardé,trzymane,mantido,сохраняется,tenuto,hållen
glass,vidre,vidrio,Glas,verre,szkło,vidro,стакан,bicchiere,glas
grass,herba,césped,Gras,herbe,trawa,Relva,трава,erba,gräs
cow,vaca,vaca,Kuh,vache,krowa,vaca,корова,mucca,ko
job,treball,trabajo,Arbeit,travail,stanowisko,trabalho,работа,lavoro,jobb
edge,vora,borde,Kante,bord,Brzeg,borda,край,bordo,kant
sign,signe,señal,Schild,pancarte,podpisać,sinal,знак,cartello,tecken
visit,visita,visitar,Besuch,visite,wizyta,Visita,посещать,visitare,besök
past,passat,pasado,vorbei an,passé,po,passado,мимо,passato,dåtid
soft,suau,suave,Sanft,tendre,miękki,suave,мягкий,morbido,mjuk
fun,diversió,divertida,Spaß,amusement,zabawa,Diversão,весело,divertimento,roligt
bright,brillant,brillante,hell,brillant,jasny,brilhante,яркий,luminosa,ljus
gas,gas,gas,Gas,gaz,gaz,gás,газ,gas,gas
weather,temps,clima,Wetter,Météo,pogoda,tempo,погода,tempo atmosferico,väder
month,mes,mes,Monat,mois,miesiąc,mês,месяц,mese,månad
million,milions,millón,Million,million,milion,milhão,миллион,milione,miljon
bear,suportar,llevar,Bär,ours,niedźwiedź,urso,медведь,orso,Björn
finish,acabat,finalizar,Fertig,terminer,koniec,Finalizar,финиш,finire,Avsluta
happy,feliç,contento,glücklich,heureux,szczęśliwy,feliz,счастливый,felice,Lycklig
hope,espere,esperar,Hoffnung,espoir,nadzieja,ter esperança,надеяться,speranza,hoppas
flower,flor,flor,Blume,fleur,kwiat,flor,цветок,fiore,blomma
clothe,vestir,vestir,kleiden,vêtir,odziać,vestir,одеял,vestito,kläda
strange,estrany,extraño,seltsam,étrange,dziwny,estranho,странный,strano,konstig
gone,anat,desaparecido,Weg,disparu,odszedł,se foi,прошло,andato,borta
trade,comerç,comercio,handeln,Commerce,handel,troca,торговля,commercio,handel
melody,melodia,melodía,Melodie,mélodie,melodia,melodia,мелодия,melodia,melodi
trip,viatge,viaje,Reise,voyage,wycieczka,viagem,путешествие,viaggio,resa
office,oficina,oficina,Büro,Bureau,gabinet,escritório,офис,ufficio,kontor
receive,rebre,recibir,erhalten,recevoir,odbierać,receber,Получать,ricevere,motta
row,fila,fila,die Zeile,ligne,wiersz,fileira,строка,riga,rad
mouth,boca,boca,Mund,bouche,usta,boca,рот,bocca,mun
exact,exacta,exacto,genau,exact,dokładny,exato,точный,esatto,exakt
symbol,símbol,símbolo,Symbol,symbole,symbol,símbolo,символ,simbolo,symbol
die,morir,morir,sterben,mourir,umierać,morrer,умереть,morire,dö
least,menys,el menos,am wenigsten,moins,najmniej,ao menos,наименее,meno,minst
trouble,problemes,problema,Problem,difficulté,kłopot,problema,беда,problemi,problem
shout,crit,grito,schreien,cri,krzyczeć,gritar,кричать,gridare o urlare,skrika
except,excepte,excepto,außer,à l'exception,oprócz,exceto,кроме,tranne,bortsett från
wrote,escriure,escribió,schrieb,a écrit,napisał,escreveu,написал,ha scritto,skrev
seed,llavors,semilla,Samen,planter,nasionko,semente,семя,seme,utsäde
tone,to,tono,Ton,Ton,ton,tom,тон,tono,tona
join,unir-se,unirse,beitreten,rejoindre,Przystąp,Junte,присоединиться,giuntura,Ansluta sig
suggest,suggerir,sugerir,empfehlen,suggérer,sugerować,sugerir,предложить,suggerire,föreslå
clean,neta,limpio,sauber,nettoyer,czysty,limpar,чистый,pulire,rena
break,ruptura,descanso,Unterbrechung,Pause,przerwanie,parar,ломать,rompere,ha sönder
lady,dama,dama,Dame,la demoiselle,dama,senhora,леди,signora,lady
yard,pati,yarda,Hof,cour,dziedziniec,Jardim,площадка,cortile,gård
rise,augmentant,elevar,Aufstieg,monter,wzrastać,subir,подниматься,salita,stiga
bad,dolent,malo,Schlecht,mal,zły,mau,Плохо,cattivo,dålig
blow,cop,explotar,Schlag,souffler,cios,golpe,дуть,soffio,blåsa
oil,oli,aceite,Öl,pétrole,olej,óleo,масло,olio,olja
blood,sang,sangre,Blut,du sang,krew,sangue,кровь,sangue,blod
touch,tocar,tocar,berühren,toucher,dotykać,toque,трогать,tocco,Rör
grew,créixer,creció,wuchs,faire grandir,dorastał,cresceu,вырос,è cresciuto,växte
cent,cent,centavo,Cent,cent,cent,cent,цент,cent,cent
mix,barrejar,mezcla,mischen,mélanger,mieszać,misturar,смешивание,mescolare,blanda
team,equip,equipo,Mannschaft,équipe,zespół,equipe,команда,squadra,team
wire,filferro,cable,Kabel,fil,drut,arame,провод,filo,tråd
cost,cost,costo,kosten,Coût,koszt,custo,Стоимость,costo,kosta
lost,perdut,perdió,verirrt,perdu,Stracony,perdido,потерял,perduto,förlorat
brown,brown,marrón,braun,brun,brązowy,Castanho,коричневый,Marrone,brun
wear,desgast,tener puesto,tragen,usure,nosić ,vestem,носить,indossare,ha på sig
garden,jardí,jardín,Garten,jardin,ogród,jardim,сад,giardino,trädgård
equal,igual,igual,gleich,égal,równy,igual,равный,pari,likvärdig
sent,enviat,enviado,gesendet,expédié,wysłano,enviado,послал,spedito,skickad
choose,triar,elegir,wählen,choisir,wybierać,escolher,выбирать,scegliere,välja
fell,caure,cayó,fiel,abattre,spadł,caiu,упал,caduto,föll
fit,encaixar,adaptar,fit,adapter,pasować,em forma,поместиться,in forma,passa
flow,fluir,caudal,fließen,couler,pływ,fluxo,поток,fluire,flöde
fair,just,justa,Messe,équitable,sprawiedliwy,feira,справедливый,giusto,rättvis
bank,banc,banco,Bank,banque,Bank,banco,банк,banca,Bank
collect,recollir,recoger,sammeln,recueillir,zebrać,coletar,собирать,raccogliere,samla
save,guardar,ahorrar,sparen,enregistrer,ratować,Salve ,спасти,Salva,spara
decimal,decimal,decimal,Dezimal,décimal,dziesiętny,decimal,десятичный,decimale,decimal-
ear,sentit,oído,Ohr,oreille,ucho,orelha,ухо,orecchio,öra
else,altres,más,anders,autre,w przeciwnym razie,senão,еще,altro,annan
quite,bastant,bastante,ziemlich,assez,całkiem,bastante,довольно,piuttosto,ganska
broke,trencar,rompió,Pleite,cassé,zepsuł się,quebrou,сломанный,rotto,pank
case,cas,caso,Fall,Cas,walizka,caso,кейс,Astuccio,fall
middle,mitjà,medio,Mitte,milieu,środek,meio,середина,mezzo,mitten
kill,matar,matar,töten,tuer,zabić,matar,убийство,uccisione,döda
son,fill,hijo,Sohn,fils,syn,filho,сын,figlio,son
lake,llac,lago,See,Lac,jezioro,lago,озеро,lago,sjö
moment,moment,momento,Moment,moment,za chwilę,momento,мгновенный,momento,ögonblick
scale,escala,escala,Skala,échelle,skala,escala,шкала,scala,skala
loud,veualta,alto,laut,fort,głośno,alto,громкий,ad alta voce,högt
spring,primavera,primavera,Frühling,le printemps,wiosna,primavera,весна,molla,vår
observe,observar,observar,beobachten,observer,przestrzegać,observar,наблюдать,osservare,observera
child,nen,niño,Kind,enfant,dziecko,filho,ребенок,bambino,barn
straight,recta,directo,gerade,droit,proste,direto,прямой,dritto,hetero
consonant,consonant,consonante,Konsonant,consonne,spółgłoska,consoante,согласный,consonante,konsonant
nation,nació,nación,Nation,nation,naród,nação,нация,nazione,nation
dictionary,diccionari,diccionario,Wörterbuch,dictionnaire,słownik,dicionário,толковый словарь,dizionario,lexikon
milk,llet,Leche,Milch,Le Lait,mleko,leite,молоко,latte,mjölk
speed,velocitat,velocidad,Geschwindigkeit,la rapidité,prędkość,Rapidez,скорость,velocità,fart
method,mètode,método,Methode,méthode,metoda,método,метод,metodo,metod
organ,òrgan,Organo,Organ,organe,organ,órgão,орган,organo,organ
pay,pagar,pagar,Zahlen,Payer,płacić,pagar,платить,pagare,betala
age,edat,años,das Alter,âge,wiek,era,возраст,età,ålder
section,secció,sección,Sektion,section,Sekcja,seção,раздел,sezione,sektion
dress,vestit,vestir,Kleid,robe,sukienka,vestir,платье,vestire,klänning
cloud,núvol,nube,Wolke,nuage,Chmura,nuvem,облако,nube,moln
surprise,sorpresa,sorpresa,Überraschung,surprendre,niespodzianka,surpresa,Сюрприз,sorpresa,överraskning
quiet,tranquil,tranquilo,ruhig,calme,cichy,tranquilo,тихо,silenzioso,tyst
stone,pedra,piedra,Stein,pierre,złóg,pedra,камень,calcolo,sten
tiny,petit,diminuto,sehr klein,minuscule,malutki,minúsculo,крошечный,minuscolo,mycket liten
climb,ascens,subida,steigen,monter,wspinać się,escalar,взбираться,salita,klättra
cool,fresc,Frío,Kalt,cool,Fajny,legal,Круто,freddo,Häftigt
design,disseny,diseño,Entwurf,motif,projekt,Projeto,дизайн,disegno,design
poor,pobres,pobre,Arm,pauvre,słaby,pobre,бедный,povero,fattig
lot,molt,lote,viel,parcelle,działka,muito,много,quantità,massa
experiment,experiment,experimento,Experiment,expérience,eksperyment,experimentar,эксперимент,sperimentare,experimentera
bottom,inferior,abajo,Unterseite,fond,na dole,fundo,нижний,parte inferiore,botten
key,clau,llave,Schlüssel,clé,klucz,chave,ключ,chiave,nyckel-
iron,ferro,planchar,Eisen,le fer,żelazo,ferro,утюг,ferro da stiro,järn
