angles,alemany,catala,espanyol,frances,italia,polones,portugues,rus,suec
as,wie,com,como,comme,come,jak,Como,в качестве,som
his,seine,seva,su,le sien,il suo,jego,seu,его,hans
that,das,que,que,ce,Quello,że,este,что,den där
he,er,ell,él,il,lui,on,ele,он,han
was,war,era,estaba,a été,era,był,foi,был,var
for,zum,per,por,pour,per,dla,por,за,för
on,an,en,en,sur,Su,na ,sobre,на,på
are,sind,són,son,sommes,sono,są,são,находятся,are
with,mit,amb,con,avec,insieme a,z,com,с,med
they,sie,que,ellos,elles ou ils,essi,one,elas,Oни,de
be,sein,ser,ser,être,essere,być,ser,быть,vara
at,bei,en,a,à,a,w,no,в,på
one,eines,significarà,una,une,uno,jeden,um,один,ett
have,haben,tenir,tener,ont,avere,mieć,tenho,имеют,ha
this,Dies,aquest,este,cette,questo,ten,isto,это,detta
from,aus,des,de,de,da,z,a partir de,из,från
by,durch,per,por,par,di,za pomocą,por,по,förbi
hot,heiß,calenta,caliente,chaud,piccante,gorący,quente,горячий,varm
word,Wort,paraula,palabra,mot,parola,słowo,palavra,слово,ord
but,aber,però,pero,mais,ma,ale,mas,но,men
what,was,ho,qué,Quel,che cosa,Co,o que,какие,Vad
some,etwas,alguns,alguno,quelques,alcuni,niektóre,algum,немного,några
is,ist,és,es,est,è,jest,é,является,är
it,es,el,eso,ce,esso,to,isto,Это,Det
you,Sie,vostè,tú,tu,voi,ty,vocês,ты,du
or,oder,o,o,ou,o,lub,ou,или же,eller
had,hatte,tingut,tenido,avais,avevo,miał,teve,было,ha
the,das,la,la,la,il,the,a,а,de
of,von,d’,de,de,di,z,do,из,av
to,zu,a,a,à,a,do,para,к,till
and,und,i,y,et,e,oraz,e,а также,och
a,a,ella,a,un,un,a,uma,а,en
in,in,en,en,dans,in,w,dentro,в,i
we,wir,nosaltres,nosotros,nous,noi,my,nós,мы,vi
can,kann,pot,pueden,boîte,Potere,Móc,posso,Можно,burk
out,aus,sortida,afuera,dehors,fuori,na zewnątrz,Fora,вне,ut
other,Sonstiges,altre,otro,autre,Altro,inny,outro,Другой,Övrig
were,war,eren,fueron,étaient,erano,byli,nós estamos,мы,var
which,die,que,cual,qui,quale,który,que,который,som
do,tun,fer,hacer,fais,fare,robić,Faz,делать,do
their,ihr,seva,sus,leur,i loro,ich,seus,их,deras
time,Zeit,temps,tiempo,temps,volta,czas,Tempo,время,tid
if,wenn,si,si,si,Se,jeśli,E se,если,om
will,Wille,farà,voluntad,sera,volere,będzie,vai,будут,kommer
how,wie,com,cómo,comment,come,Jak,Como as,как,hur
said,sagte,dit,dijo,a dit,disse,powiedział,disse,сказал,nämnda
an,ein,ocupat,un,un,un,jakiś,um,атмосфера,en
each,jeder,cada,cada,chaque,a testa,każdy,cada,каждый,varje
tell,erzählen,dir,decir,raconter,raccontare,powiedzieć,dizer,сказать,säga
does,tut,fa,lo hace,Est-ce que,fa,czy,faz,делает,göra
set,einstellen,conjunt,establecer,Positionner,impostare,ustawić,definir,установлен,uppsättning
three,drei,mar,Tres,Trois,tre,trzy,três,три,tre
want,wollen,voler,desear,vouloir,volere,chcieć,querer,хочу,vilja
air,Luft,aire,aire,air,aria,powietrze,ar,воздуха,luft
well,Gut,bé,bien,bien,bene,dobrze,Nós vamos,Что ж,väl
also,Auch,també,además,aussi,anche,Również,também,также,också
play,abspielen,jugar,desempeñar,jouer,giocare a,bawić się,Toque,играть в,spela
small,klein,petit,pequeña,petit,piccolo,mały,pequena,маленький,små
end,Ende,fi,final,fin,fine,koniec,fim,конец,slutet
put,stellen,posar,poner,mettre,mettere,położyć,colocar,помещать,sätta
home,Heimat,casa,hogar,domicile,casa,Dom,casa,дом,Hem
read,lesen,llegir,leer,lis,leggere,czytać,ler,читать,läsa
hand,Hand,mà,mano,main,mano,ręka,mão,рука,hand
port,Hafen,port,Puerto,Port,porta,Port,porta,порт,hamn
large,groß,gran,largo,grand,di grandi dimensioni,wielki,ampla,большой,stor
spell,Fluch,lletrejar,deletrear,sort,sillabare,zaklęcie,soletrar,орфографии,stava
add,hinzufügen,afegir,agregar,ajouter,Inserisci,Dodaj,adicionar,добавлять,Lägg till
land,Land,terra,tierra,terrain,terra,grunt,terra,земельные участки,landa
here,hier,aquí,aquí,ici,qui,tutaj,aqui,здесь,här
must,muss,ha,deber,devoir,dovere,musi,devo,должен,måste
big,groß,gran,grande,gros,grande,duża,grande,большой,stor
high,hoch,alta,alto,haute,alto,wysoki,Alto,высокая,hög
such,eine solche,tals,tal,tel,tale,taki,tal,такой,sådan
follow,Folgen,segueixi,seguir,suivre,Seguire,śledzić,Segue,следить,Följ
act,Handlung,acte,Actuar,loi,atto,akt,Aja,действовать,spela teater
ask,Fragen,preguntar,pedir,interroger,Chiedi,zapytać się,perguntar,спросить,fråga
men,Männer,homes,hombres,Hommes,uomini,mężczyźni,homens,люди,män
change,Rückgeld,canvi,cambio,monnaie,modificare,zmiana,mudança,сдача,förändra
light,hell,llum,luz,lumière,luce,światło,leve,легкий,ljus
kind,nett,tipus,tipo,gentil,tipo,uprzejmy,Gentil,Добрый,snäll
off,aus,off,apagado,à l'arrêt,spento,wyłączony,desligado,выключенный,av
need,brauchen,necessitarà,necesitar,besoin,bisogno,potrzebować,precisar,необходимость,behöver
house,Haus,casa,casa,loger,Casa,dom,lar,дом,hus
picture,Bild,foto,imagen,image,immagine,obrazek,foto,картина,bild
try,Versuchen,tractar,probar,essayer,Tentativo,próbować,tentar,пытаться,Prova
us,uns,nosaltres,a nosotros,nous,noi,nas,nós,нас,oss
again,wieder,nou,otra vez,encore,ancora,ponownie,novamente,опять таки,om igen
animal,Tier,animals,animal,animal,animale,zwierzę,animal,животное,djur-
point,Punkt,punt,punto,indiquer,punto,punkt,ponto,точка,punkt
mother,Mutter,mare,madre,mère,madre,matka,mãe,мать,mor
world,Welt,món,mundo,monde,mondo,świat,mundo,Мир,värld
near,nahe,prop,cerca,à proximité,vicino,Blisko,aproximar,около,nära
build,bauen,construir,construir,construire,costruire,budować,construir,строить,bygga
self,selbst,acte,uno mismo,soi,se stesso,samego siebie,auto,себя,själv
earth,Erde,terra,tierra,la terre,terra,Ziemia,terra,земной шар,jord
father,Vater,pare,padre,père,padre,ojciec,pai,отец,far
any,irgendein,qualsevol,ningún,n'importe quel,qualunque,każdy,algum,Любые,några
new,Neu,nou,nuevo,Nouveau,nuovo,Nowy,novo,новый,ny
work,Arbeit,treball,trabajar,travailler,opera,praca,trabalhar,Работа,arbete
part,Teil,part,parte,partie,parte,część,papel,часть,del
take,nehmen,prendre,tomar,prendre,prendere,Brać,leva,брать,ta
get,erhalten,aconseguir,obtener,obtenir,ottenere,Dostawać,pegue,получить,skaffa sig
place,Platz,lloc,lugar,place,posto,miejsce,lugar,место,plats
made,gemacht,fet,hecha,fabriqué,fatto,zrobiony,feito,сделанный,gjord
live,live,viure,En Vivo,Direct,abitare,relacja na żywo,viver,жить,leva
where,wo,on,dónde,où,dove,gdzie,Onde,куда,var
after,nach,després,después,après,dopo,po,depois,после,efter
back,der Rücken,esquena,espalda,retour,Indietro,plecy,de volta,назад,tillbaka
little,wenig,poc,poco,peu,piccolo,mały,pequena,маленький,liten
only,nur,només,solamente,seulement,solo,tylko,só,Только,endast
round,runden,ronda,redondo,tour,il giro,okrągły,redondo,круглый,runda
man,Mann,home,hombre,homme,uomo,facet,cara,человек,man
year,Jahr,anys,año,an,anno,rok,ano,год,år
came,kam,vi,vino,est venu,è venuto,przyszło,veio,пришел,kom
show,Show,espectacle,mostrar,Afficher,mostrare,pokazać,mostrar,показывать,show
every,jeder,cada,cada,tous,ogni,każdy,todo,каждый,varje
good,gut,bona,bueno,bien,Buona,Dobry,Boa,хороший,Bra
me,mich,em,yo,moi,me,ja,Eu,мне,mig
give,geben,donar,dar,donner,dare,dawać,dar,дайте,ge
our,unser,nostra,nuestro,notre,i nostri,nasz,nosso,наш,vår
under,unter,sota,por debajo,en dessous de,sotto,pod ,debaixo,под,under
name,Name,nom,nombre,Nom,nome,Nazwa,nome,имя,namn
very,sehr,molt,muy,très,molto,bardzo,muito,очень,mycket
through,durch,través,mediante,à travers,attraverso,poprzez,Através dos,через,genom
just,nur,només,sólo,juste,Appena,tylko,apenas,просто,bara
form,bilden,forma,forma,formulaire,modulo,Formularz,Formato,форма,form
sentence,Satz,frase,frase,phrase,frase,wyrok,frase,приговор,mening
great,Großartig,gran,estupendo,génial,grande,Świetnie,excelente,большой,bra
think,denken,pensar,pensar,pense,pensare,myśleć,acho,считать,tror
say,sagen,dir,decir,dire,dire,mówić,dizer,сказать,säga
help,Hilfe,ajudar,ayuda,aider,aiuto,Wsparcie,ajuda,помощь,hjälp
low,niedrig,sota,bajo,bas,basso,niski,baixo,низкий,låg
line,Linie,línia,línea,ligne,linea,linia,linha,линия,linje
differ,abweichen,diferir,diferir de,différer,differire,różnić się,diferir,отличается,skilja sig
cause,weil,causa,causa,cause,causa,przyczyna,causa,причина,orsak
much,viel,molt,mucho,beaucoup,tanto,dużo,Muito de,много,mycket
mean,bedeuten,significarà,significar,moyenne,significare,oznaczać,significa,иметь в виду,betyda
before,Vor,abans,antes de,avant de,prima,zanim,antes da,до,innan
move,Bewegung,moviment,Muevete,mouvement,muoversi,ruszaj się,jogada,шаг,flytta
right,Rechts,dret,Correcto,droit,Giusto,prawo,certo,Правильно,höger
boy,Junge,nen,chico,garçon,ragazzo,chłopak,Garoto,мальчик,pojke
old,alt,edat,antiguo,Agé de,vecchio,stary,velho,старый,gammal
too,zu,massa,también,aussi,anche,także,também,слишком,för
same,gleich,mateixa,mismo,même,stesso,to samo,mesmo,такой же,samma
she,sie,ella,ella,elle,lei,Ona,ela,она,hon
all,alle,tot,todos,tout,tutto,wszystko,tudo,все,Allt
there,dort,hi,allá,là,là,tam,lá,там,där
when,Wenn,quan,cuando,lorsque,quando,gdy,quando,когда,när
up,hoch,fins,arriba,en haut,su,w górę,acima,вверх,upp
use,verwenden,ús,usar,utilisation,uso,posługiwać się,usar,использовать,använda sig av
your,dein,seva,su,ton,tuo,twój,sua,ваш,din
way,Weg,camí,camino,façon,modo,droga,caminho,путь,sätt
about,um,sobre,sobre,sur,di,o,cerca de,о,handla om
many,viele,molts,muchos,de nombreux,molti,wiele,muitos,много,många
then,dann,continuació,después,alors,poi,następnie,então,тогда,sedan
them,Sie,ells,a ellos,leur,loro,ich,eles,их,dem
write,schreiben,escriure,escribe,écrivez,scrivere,pisać,Escreva,записывать,skriva
would,möchten,faria,haría,aurait,voluto,zrobiłbym,gostaria,бы,skulle
like,wie,com,me gusta,Comme,piace,tak jak,Curti,как,tycka om
so,Also,així,asi que,alors,Così,więc,assim,так,så
these,diese,aquests,estas,ces,queste,te,esses,эти,dessa
her,Sie,seva,su,son,suo,ją,sua,ей,henne
long,lang,llarg,largo,long,lungo,długie,grandes,длинная,lång
make,machen,fer,hacer,Fabriquer,rendere,robić,faço,делать,göra
thing,Ding,cosa,cosa,chose,cosa,rzecz,coisa,вещь,sak
see,sehen,veure,ver,voir,vedere,Widzieć,Vejo,видеть,ser
him,ihn,ell,a él,lui,lui,jego,dele,его,honom
two,zwei,dos,dos,deux,Due,dwa,dois,два,två
has,hat,té,posee,a,ha,ma,tem,имеет,har
look,sehen,buscar,Mira,voir,Guarda,wyglądać,olhar,Смотреть,se
more,mehr,més,más,Suite,Di più,jeszcze,mais,более,Mer
day,Tag,dia,día,journée,giorno,dzień,dia,день,dag
could,könnte,podia,pudo,pourrait,Potevo,mógłby,poderia,мог,skulle kunna
go,gehen,anar,Vamos,aller,andare,iść,vai,идти,gå
come,Kommen Sie,venir,venir,viens,venire,chodź,venha,прийти,komma
number,Nummer,nombre,número,Numéro,numero,numer,número,количество,siffra
sound,Klang,so,sonido,du son,suono,dźwięk,som,звук,ljud
no,nein,no,no,non,No,nie,não,нет,Nej
most,die meisten,més,la mayoría,plus,più,bardzo,a maioria,самый,mest
people,Personen,persones,gente,personnes,le persone,ludzie,pessoas,люди,människor
my,mein,meu,mi,ma,mio,mój,minha,мой,min
over,Über,sobre,sobre,plus de,Sopra,koniec,sobre,над,över
know,kennt,saber,saber,connaître,sapere,wiedzieć,conhecer,знать,känna till
water,Wasser,aigua,agua,l'eau,acqua,woda,agua,вода,vatten
than,als,que,que,que,di,niż,do que,чем,än
call,Anruf,anomenada,llamar,appel,chiamata,połączenie,ligar,вызов,ringa upp
first,Erste,primer,primero,première,primo,pierwszy,primeiro,первый,först
who,wer,que,quién,qui,chi,kto,quem,кто,WHO
may,kann,pot,mayo,peut,Maggio,może,poderia,май,Maj
down,Nieder,baix,abajo,vers le bas,fuori uso,na dół,baixa,вниз,ner
side,Seite,costat,lado,côté,lato,bok,lado,сторона,sida
been,gewesen,estat,estado,a été,stato,został,estive,был,varit
now,jetzt,ara,ahora,à présent,adesso,Teraz,agora,в настоящее время,nu
find,finden,trobar,encontrar,trouver,trova,odnaleźć,achar,найти,hitta
head,Kopf,cap,cabeza,tête,testa,głowa,cabeça,глава,huvud
own,besitzen,propi,propio,posséder,possedere,własny,ter,собственный,egen
page,Seite,pàgina,página,page,pagina,strona,página,страница,sida
should,sollte,ha,debería,devrait,dovrebbe,powinien,deve,должен,skall
country,Land,país,país,pays,nazione,kraj,país,страна,Land
found,gefunden,trobat,fundar,trouvé,fondare,znaleziony,encontrado,найденный,hittades
answer,Antworten,resposta,responder,réponse,Rispondere,odpowiadać,responda,отвечать,svar
school,Schule,escola,escuela,école,scuola,szkoła,escola,школа,skola
grow,größer werden,créixer,crecer,grandir,crescere,rosnąć,crescer,расти,växa
study,lernen,estudi,estudiar,étude,studia,nauka,estudar,исследование,studie
still,still,encara,todavía,toujours,ancora,nadal,ainda,Все еще,fortfarande
learn,lernen,aprendre,aprender,apprendre,imparare,uczyć się,aprender,учиться,lära sig
plant,Pflanze,planta,planta,plante,pianta,zakład,plantar,завод,växt
cover,Startseite,coberta,cubrir,couverture,coperchio,pokrywa,cobrir,покрытие,omslag
food,Lebensmittel,aliments,alimento,aliments,cibo,jedzenie,Comida,еда,mat
sun,Sonne,sol,sol,Soleil,sole,słońce,Sol,солнце,Sol
four,vier,saber,cuatro,quatre,quattro,cztery,quatro,четыре,fyra
between,zwischen,entre,Entre,entre,fra,pomiędzy,entre,между,mellan
state,Zustand,estat,estado,Etat,stato,państwo,Estado,государство,stat
keep,behalten,mantenir,mantener,donjon,mantenere,trzymać,guarda,хранить,ha kvar
eye,Auge,ull,ojo,œil,occhio,oko,olho,глаз,öga
never,noch nie,mai,nunca,jamais,mai,nigdy,Nunca,никогда,aldrig
last,letzte,última,ultimo,dernière,Ultimo,ostatni,último,последний,sista
let,Lassen,deixar,dejar,laisser,permettere,wynajmować,deixar,позволять,låta
thought,Gedanke,pensat,pensamiento,pensait,pensiero,myśl,pensamento,мысль,trodde
city,Stadt,ciutat,ciudad,ville,città,Miasto,cidade,город,stad
tree,Baum,arbre,árbol,arbre,albero,drzewo,árvore,дерево,träd
cross,Kreuz,creuar,cruz,traverser,attraverso,krzyż,Cruz,Пересекать,korsa
farm,Bauernhof,granja,granja,cultiver,azienda agricola,gospodarstwo rolne,Fazenda,ферма,odla
hard,schwer,dur,difícil,dur,difficile,ciężko,duro,жесткий,hård
start,Anfang,inici,comienzo,début,inizio,początek,começar,Начало,Start
might,könnte,podria,puede que,force,potrebbe,móc,poderia,мощь,makt
story,Geschichte,història,historia,histoire,storia,fabuła,história,история,berättelse
saw,gesehen,serra,sierra,vu,sega,widział,viu,пила,fick syn på
far,weit,ara,lejos,loin,lontano,daleko,distante,далеко,långt
sea,Meer,mar,mar,mer,mare,morze,mar,море,hav
draw,zeichnen,dibuixar,dibujar,dessiner,disegno,remis,empate,рисовать,dra
left,links,esquerra,izquierda,la gauche,sinistra,lewy,deixei,оставил,vänster
late,spät,tarda,tarde,en retard,tardi,późno,tarde,поздно,sent
run,Lauf,run,correr,Cours,correre,biegać,corre,бежать,springa
don’t,nicht,no,no,ne le faites pas,non,Nie,não,не,inte
while,während,mentre,tiempo,tandis que,mentre,podczas gdy,enquanto,пока,medan
press,Drücken Sie,premsa,prensa,presse,stampa,naciśnij,pressione,Нажмите,Tryck
close,nah dran,prop,cerca,proche,chiudere,blisko,perto,Закрыть,stänga
night,Nacht,nit,noche,nuit,notte,noc,noite,ночь,natt
real,real,reals,real,réel,vero,prawdziwy,real,настоящий,verklig
life,Leben,vida,vida,la vie,vita,życie,vida,жизнь,liv
few,wenig,pocs,pocos,peu,pochi,mało,alguns,несколько,få
north,Norden,nord,norte,Nord,nord,północ,norte,к северу,norr
book,Buchen,llibre,libro,livre,prenotare,książka,livro,книга,bok
carry,tragen,portar,llevar,porter,trasportare,mieć przy sobie,carregar,нести,bära
took,nahm,prendre,tomó,ont pris,ha preso,wzięła,tomou,взял,tog
science,Wissenschaft,ciència,Ciencias,la science,scienza,nauki ścisłe,Ciência,наука,vetenskap
eat,Essen,menjar,comer,manger,mangiare,jeść,comer,есть,äta
room,Zimmer,habitació,habitación,chambre,camera,Pokój,quarto,номер,rum
friend,Freund,amic,amigo,ami,amico,przyjaciel,amigo,друг,vän
began,begann,començar,empezó,a commencé,iniziò,zaczął się,começou,началось,påbörjade
idea,Idee,idea,ocurrencia,idée,idea,pomysł,idéia,идея,aning
fish,Fische,peixos,pez,poisson,pesce,ryba,peixe,рыбы,fisk
mountain,Berg,muntanya,montaña,Montagne,montagna,Góra,montanha,гора,fjäll
stop,Pause,aturi,deténgase,arrêt,fermare,Zatrzymaj się,Pare,остановка,sluta
once,einmal,uncop,una vez,une fois que,una volta,raz,uma vez,однажды,en gång
base,Base,base,base,base,base,baza,base,база,bas
hear,hören,escoltar,oír,écouter,ascoltare,słyszeć,ouvir,слышать,höra
horse,Pferd,cavall,caballo,cheval,cavallo,koń,cavalo,лошадь,häst
cut,schneiden,tall,Corte,Couper,tagliare,skaleczenie,cortar,резать,skära
sure,sicher,segur,Por supuesto,Bien sur,sicuro,Jasne,claro,Конечно,Säker
watch,Uhr,veure,reloj,Regardez,guarda,zegarek,ver,смотреть,Kolla på
colour,Farbe,color,color,Couleur,colore,kolor,cor,цвет,Färg
face,Gesicht,cara,cara,Visage,viso,Twarz,enfrentar,лицо,ansikte
wood,Holz,fusta,madera,bois,Di legno,drewno,madeira,древесина,trä
main,hauptsächlich,principal,principal,principale,principale,Główny,a Principal,главный,huvudsaklig
open,offen,oberta,abierto,ouvert,aprire,otwarty,abrir,открытым,öppna
seem,erscheinen,sembla,parecer,sembler,sembrare,wydać się,parecer,казаться,verka
together,zusammen,junts,juntos,ensemble,insieme,razem,juntos,вместе,tillsammans
next,nächste,següent,Siguiente,Suivant,prossimo,następny,próximo,следующий,Nästa
white,Weiß,blanc,blanco,blanche,bianca,biały,branco,белый,vit
children,Kinder,nens,niños,enfants,figli,dzieci,crianças,дети,barn
begin,Start,començar,empezar,commencer,inizio,zaczynać,começar,начинать,Börja
got,habe,aconseguit,obtuvo,a obtenu,avuto,dostał,pegou,есть,gett
walk,Spaziergang,caminar,caminar,marche,camminare,spcerować,andar,ходить,promenad
example,Beispiel,exemple,ejemplo,Exemple,esempio,przykład,exemplo,пример,exempel
ease,Leichtigkeit,alleujar,facilitar,faciliter,sollievo,łatwość,facilidade,простота,lätthet
paper,Papier,paper,papel,papier,carta,papier,papel,бумага,papper
group,Gruppe,grup,grupo,groupe,gruppo,Grupa,grupo,группа,grupp
always,stets,sempre,siempre,toujours,sempre,zawsze,sempre,всегда,alltid
music,Musik,música,música,musique,musica,muzyka,música,Музыка,musik
those,diese,els,aquellos,ceux,quelli,tych,Essa,те,de där
both,beide,tant,ambas cosas,tous les deux,Entrambi,Zarówno,Ambas,оба,både
mark,Kennzeichen,marca,Marcos,marque,marchio,znak,marca,отметка,markera
often,häufig,sovint,con frecuencia,souvent,Spesso,często,muitas vezes,довольно часто,ofta
letter,Buchstabe,carta,carta,lettre,lettera,list,carta,письмо,brev
until,bis um,fins,Hasta que,jusqu'à,Fino a,aż do,até,до того как,fram tills
mile,Meile,milla,milla,mile,miglio,Mila,milha,миля,mile
river,Fluss,riu,río,fleuve,fiume,rzeka,rio,река,flod
car,Wagen,cotxe,coche,auto,macchina,samochód,carro,автомобиль,bil
feet,Fuß,peus,pies,pieds,piedi,stopy,pés,ноги,fötter
care,Pflege,cura,cuidado,se soucier,cura,opieka,Cuidado,забота,vård
second,zweite,segon,segundo,deuxième,secondo,druga,segundo,второй,andra
enough,genügend,suficient,suficiente,suffisant,abbastanza,wystarczająco ,o suficiente,достаточно,tillräckligt
plain,schmucklos,pla,sencillo,plaine,pianura,zwykły,avião,простой,enkel
girl,Mädchen,noia,chica,fille,ragazza,dziewczyna,menina,девочка,flicka
usual,üblich,habitual,habitual,habituel,solito,zwykły,usual,обычный,vanliga
young,jung,jove,joven,Jeune,giovane,młody,jovem,молодой,ung
ready,bereit,llest,Listo,prêt,pronto,gotowy,pronto,готовы,redo
above,Oben,persobre,arriba,au dessus,sopra,nad,acima de,выше,ovan
ever,je,mai,alguna vez,déjà,mai,zawsze,sempre,Когда-либо,någonsin
red,rot,vermell,rojo,rouge,rosso,czerwony,vermelho,красный,röd
list,aufführen,llista,lista,liste,elenco,lista,Lista,список,lista
though,obwohl,encara,aunque,pourtant,anche se,chociaż,no entanto,хотя,fastän
feel,Gefühl,sentir,sentir,se sentir,tatto,czuć,sentir,Чувствовать,känna
talk,sich unterhalten,xerrada,hablar,parler,parlare,rozmowa,conversa,разговаривать,prata
bird,Vogel,ocell,pájaro,oiseau,uccello,ptak,pássaro,птица,fågel
soon,demnächst,aviat,pronto,bientôt,presto,wkrótce,em breve,скоро,snart
body,Karosserie,cos,cuerpo,corps,corpo,ciało,corpo,тело,kropp
dog,Hund,gos,perro,chien,cane,pies,cão,собака,hund
family,Familie,família,familia,famille,famiglia,rodzina,família,семья,familj
direct,Direkte,directa,directo,direct,diretto,bezpośredni,direto,непосредственный,direkt
pose,Pose,plantejar,pose,pose,posa,poza,pose,поза,utgör
leave,verlassen,deixar,abandonar,Pars,partire,Odejdź,sair,оставлять,lämna
song,Lied,cançó,canción,chanson,canzone,utwór muzyczny,música,песня,låt
measure,messen,mesurar,medida,mesure,misurare,mierzyć,a medida,мера,mäta
door,Tür,porta,puerta,porte,porta,drzwi,porta,дверь,dörr
product,Produkt,producte,producto,produit,Prodotto,produkt,produtos,товар,produkt
black,Schwarz,negre,negro,le noir,Nero,czarny,Preto,черный,svart
short,kurz,curta,corto,court,breve,niski,curto,короткая,kort
numeral,Ziffer,numeral,número,numéral,numerale,liczbowy,numeral,цифра,siffra
class,Klasse,classe,clase,classer,classe,klasa,classe,учебный класс,klass
wind,Wind,vent,viento,vent,vento,wiatr,vento,ветер,vind
question,Frage,pregunta,pregunta,question,domanda,pytanie,pergunta,вопрос,fråga
happen,passieren,succeir,suceder,se produire,accadere,zdarzyć,acontecer,случаться,hända
complete,Komplett,completa,completo,Achevée,completare,kompletny,completo,полный,komplett
ship,Schiff,vaixell,Embarcacion,bateau,nave,statek,navio,судно,fartyg
area,Bereich,zona,área,Région,la zona,powierzchnia,área,область,område
half,halb,mitjà,mitad,demi,metà,połowa,metade,половина,halv
rock,Felsen,roca,roca,rock,roccia,głaz,Rocha,рок,sten
order,bestellen,fi,ordenar,ordre,ordine,zamówienie,ordem,заказ,ordning
fire,Feuer,foc,fuego,Feu,fuoco,ogień,incêndio,Огонь,brand
south,Süden,sud,sur,sud,Sud,południe,sul,юг,söder
problem,Problem,problema,problema,problème,problema,problem,problema,проблема,problem
piece,Stück,peça,pieza,pièce,pezzo,kawałek,peça,кусок,bit
told,gesagt,dit,dicho,Raconté,detto,powiedział,contou,сказал,berättade
knew,wusste,sabia,supo,connaissait,conosceva,Wiedziałem,sabia,знал,visste
pass,passieren,passar,pasar,passer,passaggio,podawać,passar,проходить,passera
since,seit,des,ya que,puisque,da,odkąd,desde,поскольку,eftersom
top,oben,superior,parte superior,Haut,superiore,Top,topo,Топ,topp
whole,ganz,tot,entero,ensemble,totale,cały,todo,весь,hela
king,König,rei,rey,Roi,re,król,rei,король,kung
street,Straße,carrer,calle,rue,strada,ulica,rua,улица,gata
inch,Zoll,polzades,pulgada,pouce,pollice,cal,polegada,дюйм,tum
multiply,multiplizieren,multiplicar,multiplicar,multiplier,moltiplicare,zwielokrotniać,multiplicar,умножить,multiplicera
nothing,nichts,res,nada,rien,niente,nic,nada,ничего такого,ingenting
course,Kurs,curs,curso,cours,corso,kurs,curso,курс,kurs
stay,bleibe,quedar,Quédate,rester,restare,zostawać,fique,остаться,stanna kvar
wheel,Rad,roda,rueda,la roue,ruota,koło,roda,рулевое колесо,hjul
full,voll,complet,completo,plein,completo,pełny,cheio,полный,full
force,Macht,força,fuerza,Obliger,forza,zmuszać,força,сила,tvinga
blue,blau,blau,azul,bleu,blu,niebieski,azul,синий,blå
object,Objekt,objecte,objeto,objet,oggetto,obiekt,objeto,объект,objekt
decide,sich entscheiden,decidir,decidir,décider,decidere,zdecydować,decidir,решать,besluta
surface,auftauchen,superfície,superficie,surface,superficie,powierzchnia,superfície,поверхность,yta
deep,tief,profunda,profundo,Profond,profondo,głęboko,profundo,глубокий,djup
moon,Mond,lluna,luna,lune,Luna,księżyc,lua,луна,måne
island,Insel,illa,isla,île,isola,wyspa,ilha,остров,ö
foot,Fuß,peu,pie,le pied,piede,stopa,pé,ступня,fot
